"Stamps on Colnect","List exported on 2022-05-09 17:54:24 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 2 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/4-ATM_Labels


Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Martin Ramirez: Man on horse","United States of America","Martin Ramirez","Mi:US 5158BA, Sn:US 4969, Yt:US 4786, Sg:US 5585, WAD:US020.15",2015-03-26,,31,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56205,48637,39585,39812,,,69.15,Medium,Multicolor,,,Art,"Initial value: 49 c",https://colnect.com/stamps/stamp/552163
"Martin Ramirez: Train","United States of America","Martin Ramirez","Mi:US 5159BA, Sn:US 4970, Yt:US 4787, Sg:US 5586, WAD:US021.15",2015-03-26,,31,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56204,48636,39584,39811,,,71.16,Medium,Multicolor,,,Art,"Initial value: 49 c",https://colnect.com/stamps/stamp/552164
"Martin Ramirez: Deer","United States of America","Martin Ramirez","Mi:US 5160BA, Sn:US 4971, Yt:US 4788, Sg:US 5587, WAD:US022.15",2015-03-26,,31,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56203,48635,39583,39810,,,71.16,Medium,Multicolor,,,Art,"Initial value: 49 c",https://colnect.com/stamps/stamp/552165
"Martin Ramirez: Windows","United States of America","Martin Ramirez","Mi:US 5161BA, Sn:US 4972, Yt:US 4789, Sg:US 5588, WAD:US018.15",2015-03-26,,31,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56202,48634,39582,39809,,,69.6,Medium,Multicolor,,,Windows,"Initial value: 49 c",https://colnect.com/stamps/stamp/552166
"From Me To You","United States of America","From Me To You","Mi:US 5162BA, Sn:US 4978, Yt:US 4790, Sg:US 5594, WAD:US028.15",2015-04-01,,23,30,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56201,48619,39581,39802,,552155,46.54,High,Multicolor,,,"Letters (Alphabet),Greetings","Initial value: 49 c",https://colnect.com/stamps/stamp/552155
"From Me To You","United States of America","From Me To You","Mi:US 5162BB, Sn:US 4978a",2015-04-01,,,,,Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56200,48618,,,,552155,92.18,Low,Multicolor,,,"Letters (Alphabet),Greetings","Postwert zum Ausgabezeitpunkt: 49 c",https://colnect.com/stamps/stamp/715544
"Maya Angelou","United States of America","Maya Angelou","Mi:US 5163BA, Sn:US 4979, Yt:US 4791, Sg:US 5595, WAD:US029.15",2015-04-07,,40,25,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56199,48617,39580,39801,,552140,41.24,High,Multicolor,,,"Famous People,Authors,Literature,Women,Literary People (Poets and Writers)","Initial value: 49 c",https://colnect.com/stamps/stamp/552140
"Maya Angelou","United States of America","Maya Angelou","Mi:US 5163BB, Sn:US 4979a",2015-04-07,,,,,Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56198,48616,,,,552140,89.61,Low,Multicolor,,,"Famous People,Authors,Literature,Women,Literary People (Poets and Writers)","Postwert zum Ausgabezeitpunkt: 49 c",https://colnect.com/stamps/stamp/715545
"Civil War 1865 sheet","United States of America","Civil War","Mi:US 5164-5165KB, Sn:US 4980-4981, Yt:US F4792, Sg:US MS5596, WAD:US031MS.15",2015-04-09,,,,,"Mini Sheet",Commemorative,"Serpentine Die Cut<i> 10¾ x 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",10*FOREVER,56197,48614,38469,39049,,715546,74.92,Medium,Multicolor,,,"Battle,Anniversaries and Jubilees","Listed as souvenir sheet by S.Gibbons",https://colnect.com/stamps/stamp/552143
"Civil War 1865: Five Forks","United States of America","Civil War","Mi:US 5164BA, Sn:US 4980, Yt:US 4792, WAD:US030.15",2015-04-09,,55,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾ x 11</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56196,48615,39579,,,,69.11,Medium,Multicolor,,,"Weapons,Horses,Battle,Army,Anniversaries and Jubilees",,https://colnect.com/stamps/stamp/552141
